Gesetz|Artikel|Absatz|Text
VRV|17|5|Kündigt Führer Buss Linienverkehr innerorts gekennzeichnet Haltestelle Richtungsblinker wegfahren müssen hinten herannahend Fahrzeugführer nötigenfalls Geschwindigkeit mässigen halten Wegfahrt ermöglichen gelten Haltestelle linker Fahrbahnrand befinden Busführer dürfen Richtungsblinker erst betätigen Wegfahrt bereit warten hinten herannahend Fahrzeug rechtzeitig halten können.9
VRV|18|1|Fahrzeugführer Möglichkeit ausserhalb Strasse halten Fahrbahn halten Rand parallel halten linker Strassenseite zulässig a. rechts Strassenbahngeleise verlaufen b. rechts Halte Parkverbot signalisieren markieren c. schmal Strasse schwach Verkehr d. Einbahnstrasse
VRV|18|2|2 freiwillig halten untersagen a. unübersichtlich Stelle namentlich Bereich Kurve Kuppe b. Engpass neben Hindernis Fahrbahn c. Einspurstrecke sowie neben Sicherheitslinie ununterbrochen Längslinie Doppellinie wenigstens 3 m breit Durchfahrt frei bleiben d. Strassenverzweigung sowie Strassenverzweigung nah 5 m Querfahrbahn e. seitlich angrenzend Fussgängerstreifen sowie Halteverbotslinie anbringen nah 5 m Fussgängerstreifen Fahrbahn angrenzend Trottoir f. Bahnübergang Unterführung g. Signal verdecken
VRV|18|3|Näher 10 M Haltestelltafel öffentlich Verkehrsbetrieb sowie Feuerwehrlokal Löschgerätemagazin halten aussteigenlassen Person erlauben öffentlich Verkehrsmittel Feuerwehr dürfen behindern
VRV|18|4|halten Güterumschlag neben Fahrzeug längs Strassenrand parkieren zulässig Verkehr behindern Parkierten Wagen Wegfahrt verlangen unverzüglich gestatten
VRV|19|1|Parkieren abstellen Fahrzeug bloss aussteigenlassen Person Güterumschlag dienen
VRV|19|2|Parkieren untersagen a. halten verbieten b. Hauptstrasse ausserort c. Hauptstrasse innerorts Kreuzen zwei Motorwagen genügend Raum bleiben d. Radstreifen Fahrbahn neben Streife e.98 nah 20 m Bahnübergang f. Brücke g. Zufahrt fremd Gebäude Grundstück
VRV|19|3|schmal Strasse dürfen Fahrzeug Seite parkieren Vorbeifahrt Fahrzeug erschweren
VRV|19|4|platzsparend parkieren dürfen Wegfahrt Fahrzeug behindern
VRV|20|1|Fahrzeug vorgeschrieben Kontrollschild dürfen öffentlich Strasse Parkplatz abstellen ausnehmen öffentlich Parkplatz privat Eigentümer abstellen gestatten besonderer Fall zuständig Behörde Ausnahme bewilligen
VRV|20a|1|Gehbehinderte Person Person transportieren folgend Parkierungserleichterung Anspruch nehmen « Parkkarte behindert Person » Anhang 3 Ziff . 2 SSV103 verfügen a. Stelle Parkverbot signalisieren markieren höchstens drei Stunde parkieren Parkierungsbeschränkung gemäss Artikel 19 Absätze 2–4 Fall beachten b. Parkplatz zeitlich unbeschränkt parkieren c. Begegnungszon ausserhalb entsprechend Signal Markierung gekennzeichnet Stelle höchstens zwei Stunde parkieren Fussgängerzone gelten Berechtigung falls ausnahmsweise befahren Zone erlauben
VRV|20a|2|Parkierungserleichterung beanspruchen a. übrig Verkehr weder gefährden unnötig behindern b. unmittelbar Nähe zeitlich unbeschränkt allgemein Benutzung offen stehend Parkplatz frei c. solange Fahrzeugführer sofern selber gehbehindert gehbehindert Person transportieren begleiten
VRV|20a|3|Parkierungserleichterung gelten privat bewirtschaftet Parkfläche
VRV|20a|4|Parkkarte behindert Person gut sichtbar Frontscheibe Fahrzeug anbringen
VRV|20a|5|Parkkarte ausstellen Person mittels ärztlich Zeugnis erheblich Gehbehinderung nachweisen Halter Fahrzeug nachweislich häufig Transport erheblich gehbehindert Person einsetzen Parkkarte kantonal Behörde erteilen
VRV|21|1|Strassenbenützer dürfen aussteigen gefährden Öffnen Tür besonders Verkehr hinten achten
VRV|21|2|Fahrzeug Güterumschlag ausserhalb Strasse abseits Verkehr halten Behinderung Strassenbenützer möglichst vermeiden Ladetätigkeit Verzug beenden
VRV|21|3|Fahrzeug Güterumschlag halten Verkehr gefährden z.B . kurvenreich Bergstrasse Pannensignal Warnposten aufstellen
VRV|22|1|Führer Motor abstellen Fahrzeug verlässen bevor entfernen wegrollen Verwendung unbefugte sichern
VRV|22|2|Gefälle Bremse anziehen weit wirksam Sicherung Wegrollen treffen einschalten niedrig Gang ablenken Rad Hindernis Fahrbahnrand
VRV|22|3|stark Gefällen Wagen ausserdem Unterlegkeil behelfsmässig Unterlage sichern schwer Motorwagen Anhängerzug losgelöst Anhänger leicht Gefällen Unterlegkeil anbringen Unterlage Wegfahrt Strasse entfernen
VRV|23|1|vorgeschrieben Pannensignal Art . 90 Abs . 2 VTS108 Fahrzeug leicht erreichbar
VRV|23|2|Pannensignal Fahrbahnrand aufstellen sobald Fahrzeug zwingend Grund vorschriftswidrig Fahrbahn abstellen ferner Kennzeichnung Pannenstreifen abgestellt Fahrzeug mindestens 50 m Strasse schnell Verkehr mindestens 100 M Fahrzeug aufstellen Pannenstreifen rechter Rand Nothalt signalisiert Abstellplatz Pannenfahrzeug 4.16 Pannensignal aufstellen
VRV|23|3|Warnblinklichter Art . 110 Abs . 1 Bst . g VTS dürfen Warnung Gefahr folgen verwenden a. stehend Fahrzeug zusätzlich Pannensignal sowie gekennzeichnet Schulbus aussteigenlassen Schüler Art . 6 Abs . 5 ) ; fahrend Fahrzeug namentlich unvermutet auftauchend Unfallstelle Fahrzeugstau Autobahn Autostrasse Abschleppen Pannensignal Rückseite abgeschleppt Fahrzeug anbringen
VRV|24|2|überqueren Bahnübergang Verzögerung vermeiden Fahrzeug Reifen Raupe Metall sowie Tierfuhrwerk Reiter dürfen Übergang Schritttempo überqueren
VRV|24|3|Strassenbenützer dürfen Schranke Flugplatz dergleichen öffnen umfahren umgehen übersteigen durchgehen Schranke Halbschranke Bedarfsschranke gleichstellen wobei Bedarfsschranke vorgesehen Bedienung öffnen dürfen
VRV|25|1|Strassenbahn Strassenrand fahren dürfen links überholen Strasse einmünden Behinderung Gegenverkehr ausschließen
VRV|25|2|Fährt Strassenbahn links gleich Richtung fahrend Fahrzeugführer genügend Raum lassen Gegenverkehr links ausweichen
VRV|25|3|Müssen Haltestelle Schutzinsel Fahrgast Bahn Strassenbahn Verkehrsseite aussteigen gleich Strassenhälfte verkehrend Fahrzeug halten Fahrgast Fahrbahn freigeben
VRV|25|4|Strassenbahn herannaht dürfen Linksabbieger Einspur Fahrraum benützen
VRV|25|5|Fahrzeug dürfen Strassenbahngeleis nah 1,50 m neben nächster Schiene halten
VRV|27|1|solange Motorfahrzeug Inhaber Lernfahrausweis führen müssen Rückseite gut sichtbar Stelle blau Tafel weiss « L » tragen Tafel entfernen Lernfahrt stattfinden
VRV|27|2|Lern- Prüfungsfahrt Motorwagen Begleiter neben Führer Platz nehmen ausnehmen Übungsplatz Rückwärtsfahren Parkieren Begleiter wenigstens Handbremse leicht erreichen
VRV|27|3|Inhaber Lernfahrausweis dürfen Motorrad sowie Motorfahrzeug Lernfahrt Begleitperson ausführen dürfen Passagier mitführen selber entsprechend Führerausweis verfügen.1
VRV|27|4|Fahrschüler dürfen verkehrsreich Strasse erst befahren genügend ausbilden Autobahn Autostrasse erst prüfungsreif
VRV|27|5|verkehrsreich Strasse anfahren Steigung Wende Rückwärtsfahren ähnlich Übung untersagen Wohngebiet möglichst vermeiden
VRV|27|6|Lern- Prüfungsfahrt dürfen lang Strecke rückwärts fahren weiterfahren wenden möglich
VRV|28|1|Fahrzeugführer Richtungsänderung ankündigen Abbiegen rechts Radfahrer überholen ausschwenken anzeigen
VRV|28|2|Zeichengebung Richtungsänderung unverzüglich einstellen Radfahrer Zeichengebung bereits Richtungsänderung einstellen
VRV|28|3|Fahrzeug Richtungsanzeiger wirksam zeigen Führer Mitfahrer Arm einzuschlagend Richtung möglich besonders vorsichtig abschwenken
VRV|28|4|befördern Motorkarre Arbeitskarre land forstwirtschaftlich Motorfahrzeug Anhänger sichthemmend Ladung Führer Winkkelle Anhang 4 VTS124 verwenden sofern Fahrzeug besondern Anzeigegerät versehen Führer gleichzeitig hinten blicken abschwenken links anzeigen Ende Zug Richtungsblinker vorhanden derjenige Zugfahrzeug sichtbar Kelle Anzeigegerät dürfen Strassenbenützer gefährden
VRV|29|1|Fahrzeugführer verhalten akustisch Warnsignal Lichtsignal möglichst notwendig dürfen Signal geben Sicherheit Verkehr erfordern gelten Gefahrenlicht Art . 109 Abs . 6 110 Abs . 3 Bst . b VTS
VRV|29|2|Fahrzeugführer akustisch Warnsignal geben Kind Bereich Strasse Verkehr achten unübersichtlich eng Kurve ausserorts
VRV|29|3|Eintritt Dunkelheit dürfen Lichtsignal geben Akustische Warnsignal Notfall zulässig
VRV|30|1|1 Beginn Abenddämmerung Tageshelle schlecht Sichtverhältnis Tunnel Fahrt Abblendlicht verwenden Fahrzeug Abblendlicht entsprechend Fahrzeugart vorgeschrieben Licht verwenden
VRV|30|2|Übrigen Motorfahrzeug Tagfahrlichter Abblendlichter verwenden ausnehmen Fahrzeugart Motorwagen Motorrad sowie 1 . Januar 1970 erstmals Verkehr zugelassen Motorwagen Motorrad
VRV|30|3|Bedarf Fernlicht verwenden Ortschaft jedoch Möglichkeit darauf verzichten Fernlicht ausschalten a. rechtzeitig Kreuzen Strassenbenützer neben Strasse entgegenkommend Bahn b. Hintereinanderfahren Rückwärtsfahren
VRV|30|4|Nebellicht Nebelschlusslicht dürfen verwenden Sicht wegen Nebel Schneetreiben stark Regen erheblich einschränken
VRV|30|5|läng Halten Standlichter umschalten
VRV|31|1|ausserorts abgestellt mehrspurig Fahrzeug Standlicht Parklicht Seite Verkehr verwenden Fahrzeug derartig Licht entsprechend Fahrzeugart vorgeschrieben Licht verwenden
VRV|31|2|mehrspurig motorisiert Fahrzeug vorn hinten sichtbar blendend gelb Licht Seite Verkehr ausreichend
VRV|31|3|innerorts Fahrzeug Breite 1,00 m Rückstrahler ausreichend
VRV|32|1|Anhänger geschleppt Fahrzeug gleichzeitig Zugfahrzeug beleuchten ausser Zugfahrzeug Tagfahrlicht verwenden mehrere Anhänger Zug müssen rückwärtig Licht letzter Anhänger brennen
VRV|32|2|Arbeitslicht Suchlampe dürfen verwenden soweit entsprechend Tätigkeit unerlässlich
VRV|33|1|Fahrzeugführer Mitfahrende Hilfsperson dürfen namentlich Wohn- Erholungsgebiet nachts vermeidbar Lärm erzeugen Untersagt a. andauernd unsachgemäss Benützen Anlasser unnötig Vorwärmen laufenlassen Motor stillstehend Fahrzeug b. hoch Drehzahl Motors Leerlauf Fahren niedrig Gang c. schnell Beschleunigen Fahrzeug namentlich anfahren d. fortgesetzt unnötig herumfahren Ortschaft e. schnell fahren namentlich metallbereift Fahrzeug Mitführen unbefestigt Ladung Anhänger befahren Kurve Steigung f. unsorgfältig beladen Entladen Fahrzeug sowie Mitführen Kanne ähnlich lärmerzeugend Ladung Befestigung Zwischenlage g. Zuschlagen Wagentür Motorhaube Kofferdeckel dgl . heißen Störung Radioapparat Tonwiedergabegerät Fahrzeug einbauen mitführen
VRV|34|1|Motorfahrzeug unterhalten benützen vermeidbar Rauch entwickeln
VRV|34|2|Motor kurz Halten abstellen wegfahren verzögern
VRV|34|3|Fahrzeugführer staubig schmutzig naß Strasse besonders Schneeschmelze fahren Strassenbenützer Anwohner belästigen
VRV|35|1|Autobahn Autostrasse Motorfahrzeug zulassen Geschwindigkeit wenigstens 80 km h erreichen dürfen gelten Fahrzeug Unterhalt Strasse sowie Ausnahmefahrzeug Ausnahmetransport
VRV|35|2|Traktor Raupenfahrzeug Fahrzeug Spikesreifen sowie Motorrad 50 cm3 Hubraum Motorleistung höchstens 4,00 kW dürfen Autobahn Autostrasse benützen
VRV|35|3|Pannenfahrzeug dürfen nächster Ausfahrt schleppen
VRV|35|4|Versuchsfahrt sportlich Veranstaltung Autobahn Autostrasse zugelassen.1
VRV|36|1|Autobahn Autostrasse Abbiegen dafür gekennzeichnet Stelle gestatten wenden rückwärtsfahren untersagen
VRV|36|2|Mittelstreife Autobahn dürfen vorhanden Durchfahrt überqueren
VRV|36|3|Fahrzeugführer dürfen Pannenstreifen signalisiert Abstellplatz Pannenfahrzeug Nothalt benützen dürfen signalisiert Parkplatz halten Fahrzeuginsasse dürfen Fahrbahn betreten
VRV|36|4|Benützer Autobahn Autostrasse Vortritt Fahrzeug Zufahrtsstrecke stockend Verkehr Artikel 8 Absatz 5 anwendbar
VRV|36|5|Rechtsüberholen ausschwenken Wiedereinbiegen untersagen Fahrzeugführer dürfen jedoch geboten Vorsicht folgend Fall rechts Fahrzeug vorbeifahren a. Kolonnenverkehr linker mittlerer Fahrstreifen b. Einspurstrecke sofern einzeln Fahrstreifen unterschiedlich Fahrziel signalisieren c. sofern links liegend Fahrstreifen Sicherheitslinie 6.01 Doppellinien-Markierung 6.04 linksseitig angebracht Sicherheitslinie abgrenzen Ende entsprechend Markierung insbesondere Beschleunigungsstreifen Einfahrt Verzögerungsstreifen Ausfahrt
VRV|36|6|Autobahn mindestens drei Fahrstreifen gleich Richtung dürfen äusserst Streifen links Motorfahrzeug benützen Geschwindigkeit mehr 100 km h erreichen dürfen.1
VRV|36|7|fahren Autobahn Autostrasse mindestens zwei Fahrstreifen Richtung Fahrzeug Schrittgeschwindigkeit befinden Stillstand müssen Fahrzeug Durchfahrt Polizei Sanitäts Feuerwehr Zoll Hilfsfahrzeug äussersten linker unmittelbar rechts danebenliegend Fahrstreifen frei Gasse bilden
VRV|37|1|Einbahnstrasse rechter Hälfte Verkehr beider Richtung offen Strasse gleichstellen
VRV|37|2|Verkehrsinsel Hindernis sowie fahrend Strassenbahn dürfen rechts links vorbeigefahren
VRV|37|3|Einbahnstrasse dürfen Fahrzeugführer rückwärtsfahren ausser Parkieren ankuppeln Anhänger u. dgl .
VRV|38|1|steil Strasse Bergstrasse gleichartig Fahrzeug * kreuzen abwärtsfahrend zurückfahren ausser befinden nahe Ausweichstelle Kreuzen ungleichartig Fahrzeug gelten Artikel 9 Absatz 2 erster Satz
VRV|38|3|Bergpoststrasse müssen Fahrzeugführer schwierig Kreuz überholen Zeichen Weisung Führer Fahrzeug Linienverkehr beachten
VRV|39|1|Tunnel Rückwärtsfahren Wenden untersagen
VRV|39|2|Fahrzeug müssen stets beleuchten
VRV|39|3|Fahrzeugführer dürfen Tunnel Notfall halten Motor unverzüglich abstellen
VRV|40|1|Radfahrer Vortritt gewähren Radweg Radstreifen anliegend Fahrbahn fahren überholen Radstreifen verlassen
VRV|40|2|Fussgänger dürfen Radweg benützen Trottoir Fussweg fehlen
VRV|40|3|Führer Fahrzeug dürfen unterbrochen Linie abgegrenzt Radstreifen 6.09 fahren sofern Fahrradverkehr dadurch behindern
VRV|40|4|ausserhalb Verzweigung z.B . Einfahrt Liegenschaft müssen Führer Fahrzeug überqueren Radweg Radstreifen Radfahrer Vortritt lassen
VRV|40|5|Verläuft Radweg Abstand mehr 2 m entlang Fahrbahn Motorfahrzeugverkehr gelten Verzweigung Radfahrer gleich Vortrittsregel Fahrzeugführer anliegend Fahrbahn Motorfahrzeugführer anliegend Fahrbahn abbiegen Radfahrer Vortritt gewähren
VRV|41|1|Fahrrad dürfen Trottoir abstellen sofern Fussgänger mindestens 1,50 m breit Raum frei bleiben
VRV|41|1bis|Parkieren Fahrzeug Trottoir untersagen sofern Signal Markierung ausdrücklich zulassen Signalisation dürfen Trottoir halten Güterumschlag aussteigenlassen Person Fussgänger stets mindestens 1,50 m breit Raum frei bleiben Ladetätigkeit aussteigenlassen Verzug beenden
VRV|41|2|Fahrzeug Trottoir benützen Führer gegenüber Fussgänger Benützer fahrzeugähnlich Gerät besonderer Vorsicht verpflichten Vortritt lassen.1
VRV|41|3|Längsstreifen Fussgänger 6.19 dürfen Fahrzeug benützen Fussgängerverkehr behindern
VRV|41|4|weder Radweg Radstreifen vorhanden dürfen Kind 12 Jahr Fussweg Trottoir Rad fahren müssen Geschwindigkeit Fahrweise Umstand anpassen insbesondere müssen Fussgänger Rücksicht nehmen Vortritt gewähren
VRV|41a||Nebenstrasse Wohnquartier Nebenstrasse Fahrzeugverkehr beschränkt zulassen Fahrzeugführer besonders vorsichtig rücksichtsvoll fahren
VRV|41b|1|Einfahrt Kreisverkehrsplatz Signal 2.41.1 Verbindung Signal 3.02 Führer Geschwindigkeit mässigen Kreis links herannahend Fahrzeug Vortritt lassen
VRV|41b|2|Einfahrt Kreisverkehrsplatz sofern Fahrstreifenwechsel erfolgen Fahrt Kreis Führer Richtung anzeigen verlassen Kreis anzeigen
VRV|41b|3|Kreisverkehrsplatz Radfahrer Gebot Rechtsfahren abweichen
VRV|42|1|Motorradfahrer Radfahrer müssen bestimmt Platz einnehmen Kind dürfen Fahrrad benützen Pedal treten können.1
VRV|42|2|Motorradfahrer Radfahrer dürfen Gegenstand mitführen Zeichengebung verunmöglichen Strassenbenützer gefährden Mitgeführte Gegenstand dürfen höchstens 1 m breit
VRV|42|3|Radfahrer dürfen rechts neben Motorfahrzeugkolonne vorbeifahren genügend frei Raum vorhanden slalomartig Vorfahren untersagen dürfen Weiterfahrt Kolonne behindern namentlich haltend Wagen stellen
VRV|42|4|Führer Motorfahrrad sowie Führer Elektro-Rikscha Breite 1,00 m Vorschrift Radfahrer beachten.1
VRV|43|1|Führer Fahrrad Motorfahrrad dürfen neben Fahrrad Motorfahrrad fahren Sofern übrig Verkehr behindern Nebeneinanderfahren zweit jedoch gestatten a. geschlossen Verband mehr zehn Fahrrad Motorfahr-rädern b. dicht Fahrrad Motorfahrradverkehr c. Radweg signalisiert Rad-Wanderweg Nebenstrasse d. Begegnungszon
VRV|43|2|Führer Motorrad dürfen weder nebeneinander neben Fahrrad Motorfahrrad fahren Radfahrer Motorfahrradfahrer dürfen neben Motorrad fahren
VRV|43a|1|motorisiert Rollstuhl dürfen jedermann motorisiert Rollstuhl Elektro-Stehroller gehbehindert Person Fussgänger bestimmt Verkehrsfläche verwenden dabei gelten Fussgänger anwendbar Bestimmung sinngemäss Geschwindigkeit Fahrweise Umstand anpassen
VRV|43a|2|Rollstuhl dürfen Fahrverkehr bestimmt Verkehrsfläche verwenden dabei gelten Radfahrer anwendbar Bestimmung sinngemäss Fahrbahn Radweg benützen müssen Rollstuhl nachts schlecht Sichtverhältnis vorn weiss hinten rot leuchtend gut erkennbar Licht versehen
VRV|45|1|Führer Strassenbahn besonders vorsichtig fahren Tramschleife wechseln Fahrbahnseite Kreuzen schmal Strasse fahren Richtung übrig Verkehr überholen müssen vergewissern genügend Raum vorhanden
VRV|45|2|Strassenbahn Fahrzeug Feuerwehr Sanität Polizei Zoll besonderer Warnsignal ankündigen Vortritt lassen Fährt Nebenstrasse Fahrzeug Hauptstrasse Vortritt gewähren
VRV|45|3|Sicherheit Verkehr erfordern übrig Strassenbenützer optisch akustisch Signal warnen namentlich anfahren
VRV|46|1|Fahrbahn gehen Fussgänger rechts statt links Möglichkeit ausweichen Fahrzeug ausnehmen Kinderwagen mitführen vermeiden häufig Wechseln Strassenseite
VRV|46|2|Fussgänger vermeiden unnötig Fahrbahn verweilen namentlich unübersichtlich eng Stelle Strassenverzweigung sowie Nacht schlecht Witterung
VRV|46|2bis|Tätigkeit namentlich Spiel begrenzt Fläche stattfinden dürfen Fussgänger bestimmt Verkehrsfläche verkehrsarm Nebenstrasse z . B. Wohnquartier gesamt Bereich Fahrbahn benützen sofern übrig Verkehrsteilnehmer dadurch weder behindern gefährden
VRV|46|3|Fussgänger dürfen Haltestelle Strassenbahn Insel Trottoir erst verlassen Strassenbahn stillstehen
VRV|47|1|Fussgänger müssen besonders haltend Wagen behutsam Fahrbahn treten Strasse ungesäumt überschreiten müssen Fussgängerstreifen Unterführung benützen weniger 50 m entfernt
VRV|47|2|Fussgängerstreifen Verkehrsregelung Fussgänger Vortritt ausser gegenüber Strassenbahn dürfen jedoch Vortrittsrecht Gebrauch Fahrzeug bereits nah mehr rechtzeitig anhalten
VRV|47|3|Fussgängerstreifen Verkehrsregelung Verkehrsinsel unterteilen gelten Teil Übergang selbständig Streifen
VRV|47|5|ausserhalb Fussgängerstreifen Fussgänger Fahrzeug Vortritt lassen
VRV|48|1|Führer Handwagen höchstens 1 m Breite Kinderwagen geschoben Rollstuhl geschoben Fahrrad wenigstens Vorschrift Signal Fussgänger beachten Fahrbahn müssen jedoch stets hintereinandergehen
VRV|48|1bis|Ski Schlitten dürfen Verkehrsmittel benützen ortsüblich
VRV|48|3|Person Fahrbahn Bereich arbeiten müssen nötigenfalls Signal aufstellen Planung Bau Unterhaltsarbeit müssen fluoreszierend rückstrahlend Kleidung tragen sowohl Tag Nacht gut sichtbar
VRV|50|1|Fahrzeugähnliche Gerät dürfen Verkehrsmittel verwenden a. Fussgänger bestimmt Verkehrsfläche Trottoir Fussweg Längsstreifen Fussgänger Fussgängerzone b. Radweg c. Fahrbahn Tempo-30-Zone Begegnungszon d. Fahrbahn Nebenstrasse entlang Strasse Trottoir sowie Fuss Radweg fehlen Verkehrsaufkommen Zeitpunkt Benutzung gering
VRV|50|2|Tätigkeit namentlich Spiel begrenzt Fläche stattfinden dürfen Fussgänger bestimmt Verkehrsfläche verkehrsarm Nebenstrasse z.B . Wohnquartier gesamt Bereich Fahrbahn benützen sofern übrig Verkehrsteilnehmer dadurch weder behindern gefährden
VRV|50a|1|Benützer fahrzeugähnlich Gerät gelten Fussgänger anwendbar Verkehrsregel
VRV|50a|2|Benützer fahrzeugähnlich Gerät müssen Geschwindigkeit Fahrweise stets Umstand Besonderheit Gerät anpassen insbesondere müssen Fussgänger Rücksicht nehmen Vortritt gewähren überqueren Fahrbahn dürfen Schritttempo fahren
VRV|50a|3|müssen Fahrbahn rechts fahren Radweg Radfahrer vorgeschrieben Fahrtrichtung einhalten
VRV|50a|4|Nachts Sichtverhältnis erfordern fahrzeugähnlich Gerät Benützer Fahrbahn Radweg vorne weiss hinten rot leuchtend gut erkennbar Licht versehen
VRV|51|1|Strasse stark Verkehr dürfen geübt Reiter verkehrsgewohnt Tier reiten Reiter dürfen höchstens Handpferd mitführen
VRV|51|2|Reiten zweit nebeneinander gestatten geschlossen Verband wenigstens sechs Reiter sowie ausserort Tag Strasse schwach Verkehr
VRV|52|1|wer Tier führen ständig Gewalt Tier dürfen geeignet Führer anvertrauen
VRV|52|2|einzeln Tier dürfen Berggegende linker Strassenrand führen Führer Tier sicher
VRV|52|3|stillstehend Tier dürfen Verkehr behindern unbeaufsichtigt müssen zuverlässig anbinden
VRV|52|4|Begleiter Herde Hauptstrasse dafür sorgen linker Strassenseite frei bleiben Bahnübergang Herde nötigenfalls unterteilen
